operation,dtype,sketch_kb,num_inputs,baseline_ms,maximum_ms,measured_host_ms,speed_ratio,within_numeric_threshold,acceptance_status,iterations,stop_reason,reported_mean_host_us,reported_device_column_us,reported_population_stddev_us,approximate_population_rsd,single_iteration,timing_scope,raw_samples_available,binary_sha256,log_sha256
create,I64,128,0,0.49937,1.248425,0.008199999999999999,60.898780487804885,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.2,8.2,0.529,0.06451219512195124,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
create,I64,256,0,0.403518,1.0087949999999999,0.0083,48.6166265060241,True,UNKNOWN_PROTOCOL,50,Max iterations reached,8.3,8.3,0.5,0.06024096385542168,False,synchronous_host_wall_time_integer_microseconds,False,f36f2e8a61b715fcd39dbd2dfdf29b0320e86b0e4fe040ec85805a0ed4bb42de,d28db3cf0904fad227aa089c4b077f1a82f5acf12a15b131698b66f2e1c00381
destroy,I32,8,0,0.450497,1.1262424999999998,0.00124,363.3040322580645,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.24,1.24,1.544,1.2451612903225806,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I32,16,0,0.442138,1.1053449999999998,0.001,442.138,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I32,32,0,0.487931,1.2198274999999998,0.001,487.931,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I32,64,0,0.480021,1.2000525,0.001,480.02099999999996,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I32,128,0,0.460845,1.1521124999999999,0.001,460.84499999999997,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I32,256,0,0.470879,1.1771975,0.001,470.87899999999996,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,8,0,0.474998,1.187495,0.00102,465.68431372549014,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.02,1.02,0.14,0.13725490196078433,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,16,0,0.471362,1.178405,0.001,471.36199999999997,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,32,0,0.457632,1.14408,0.001,457.63199999999995,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,64,0,0.464786,1.161965,0.001,464.78599999999994,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,128,0,0.477563,1.1939075,0.001,477.563,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
destroy,I64,256,0,0.450429,1.1260725,0.001,450.42900000000003,True,UNKNOWN_PROTOCOL,50,Max iterations reached,1.0,1.0,0.0,0.0,False,synchronous_host_wall_time_integer_microseconds,False,fe6a116b2e64ede3fd98abd73ec35f849e61c0253167e1f683ac123ef13bc7ad,90fe95631012502e97863ea74f8b920e3a8ba85c6b6660370f1bdb661a5e3db0
clear,I32,8,0,0.031079,0.07769749999999999,0.0062,5.012741935483871,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.2,6.2,1.183,0.19080645161290322,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I32,16,0,0.029187,0.0729675,0.00614,4.753583061889251,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.14,6.14,1.114,0.18143322475570034,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I32,32,0,0.029462,0.073655,0.00622,4.736655948553055,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.22,6.22,0.878,0.14115755627009646,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I32,64,0,0.029917,0.0747925,0.0064,4.674531249999999,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.4,6.4,1.039,0.16234374999999998,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I32,128,0,0.030977,0.0774425,0.00644,4.810093167701863,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.44,6.44,1.134,0.1760869565217391,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I32,256,0,0.033233,0.08308249999999999,0.00662,5.020090634441088,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.62,6.62,0.772,0.11661631419939578,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,8,0,0.029108,0.07276999999999999,0.00618,4.710032362459547,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.18,6.18,1.195,0.19336569579288027,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,16,0,0.029241,0.0731025,0.0063,4.6414285714285715,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.3,6.3,1.253,0.19888888888888887,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,32,0,0.02942,0.07355,0.00652,4.512269938650308,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.52,6.52,1.446,0.22177914110429447,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,64,0,0.029899,0.0747475,0.00634,4.715930599369085,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.34,6.34,1.07,0.16876971608832808,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,128,0,0.031733,0.07933249999999999,0.00654,4.852140672782874,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.54,6.54,0.67,0.10244648318042814,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
clear,I64,256,0,0.033185,0.0829625,0.006860000000000001,4.837463556851311,True,UNKNOWN_PROTOCOL,50,Max iterations reached,6.86,6.86,1.039,0.15145772594752185,False,synchronous_host_wall_time_integer_microseconds,False,8a2a12faf0b642f7191557da81d24890fef7b9d817db742335af7f147440209a,ca5bebb135c81eca3e42d4075339e5350d60e7576bb2daedac379ef80dca227d
estimate,I32,8,100000000,0.037083,0.09270749999999998,0.02132,1.7393527204502814,True,UNKNOWN_PROTOCOL,50,Max iterations reached,21.32,21.32,12.858,0.6030956848030019,False,synchronous_host_wall_time_integer_microseconds,False,226c1d701e30e29546177f803a41a67d3d18abf4597ab20e0b7c05857c21c857,02b43486bd63932520fab6fae9035c6284eb2553815c5882a5a1fe2203dc21c3
estimate,I32,16,100000000,0.040014,0.100035,0.02156,1.8559369202226346,True,UNKNOWN_PROTOCOL,50,Max iterations reached,21.56,21.56,13.059,0.6057050092764379,False,synchronous_host_wall_time_integer_microseconds,False,226c1d701e30e29546177f803a41a67d3d18abf4597ab20e0b7c05857c21c857,02b43486bd63932520fab6fae9035c6284eb2553815c5882a5a1fe2203dc21c3
estimate,I32,32,100000000,0.046175,0.1154375,0.021079999999999998,2.190464895635674,True,UNKNOWN_PROTOCOL,50,Max iterations reached,21.08,21.08,7.353,0.34881404174573055,False,synchronous_host_wall_time_integer_microseconds,False,226c1d701e30e29546177f803a41a67d3d18abf4597ab20e0b7c05857c21c857,02b43486bd63932520fab6fae9035c6284eb2553815c5882a5a1fe2203dc21c3
estimate,I32,64,100000000,0.054031,0.1350775,0.02528,2.1373022151898735,True,UNKNOWN_PROTOCOL,50,Max iterations reached,25.28,25.28,5.012,0.19825949367088605,False,synchronous_host_wall_time_integer_microseconds,False,226c1d701e30e29546177f803a41a67d3d18abf4597ab20e0b7c05857c21c857,02b43486bd63932520fab6fae9035c6284eb2553815c5882a5a1fe2203dc21c3
estimate,I32,128,100000000,0.068271,0.17067749999999998,0.03554,1.9209622960045019,True,UNKNOWN_PROTOCOL,50,Max iterations reached,35.54,35.54,5.79,0.16291502532357907,False,synchronous_host_wall_time_integer_microseconds,False,226c1d701e30e29546177f803a41a67d3d18abf4597ab20e0b7c05857c21c857,02b43486bd63932520fab6fae9035c6284eb2553815c5882a5a1fe2203dc21c3
